,file_name,response_0,response_1,response_2,response_3,SAM_Number_a_0,SAM_Number_a_1,SAM_Number_a_2,SAM_Number_a_3,SAM_Number_e_0,SAM_Number_e_1,SAM_Number_e_2,SAM_Number_e_3
0,VP005_081123_DigiRelax_Experiment_2023-11-08_14h17.35.226.csv,2,5,None,None,a5,a3,a5,a5,e1,e4,e1,e1
1,VP006_091123_DigiRelax_Experiment_2023-11-09_10h17.40.415.csv,None,5,3,2,a6,a2,a3,a4,e0,e4,e2,e2
2,VP007_091123_DigiRelax_Experiment_2023-11-09_14h19.56.411.csv,1,2,2,None,a5,a2,a4,a5,e0,e1,e2,e1
3,VP008_101123_DigiRelax_Experiment_2023-11-10_10h24.14.323.csv,1,2,None,None,a5,a5,a6,a6,e0,e1,e0,e0
4,VP009_101123_DigiRelax_Experiment_2023-11-10_14h16.47.223.csv,1,7,None,None,a6,a0,a5,a5,e1,e5,e0,e0
5,VP010_131123_DigiRelax_Experiment_2023-11-13_09h54.08.913.csv,3,5,None,None,a5,a3,a6,a6,e1,e3,e0,e1
6,VP011_131123_DigiRelax_Experiment_2023-11-13_14h42.51.249.csv,2,4,None,None,a4,a2,a5,a5,e1,e4,e0,e0
7,VP012_141123_DigiRelax_Experiment_2023-11-14_09h47.48.508.csv,2.0,5.0,2.0,2.0,a4,a1,a4,a3,e1,e4,e1,e1
8,VP013_151123_DigiRelax_Experiment_2023-11-15_09h52.50.734.csv,2.0,5.0,2.0,2.0,a5,a1,a5,a4,e1,e2,e1,e1
9,VP014_151123_DigiRelax_Experiment_2023-11-15_14h23.06.117.csv,1.0,2.0,1.0,1.0,a5,a4,a6,a6,e1,e2,e1,e0
10,VP015_161123_DigiRelax_Experiment_2023-11-16_09h47.53.124.csv,None,6,2,None,a6,a1,a6,a6,e1,e5,e1,e0
11,VP017_171123_DigiRelax_Experiment_2023-11-17_14h43.13.415.csv,3,4,None,1,a3,a4,a6,a4,e3,e3,e1,e2
12,VP018_201123_DigiRelax_Experiment_2023-11-20_09h51.59.612.csv,2.0,6.0,2.0,6.0,a4,a0,a4,a5,e1,e6,e2,e1
13,VP019_201123_DigiRelax_Experiment_2023-11-20_14h48.37.367.csv,6.0,5.0,6.0,6.0,a5,a3,a5,a4,e2,e3,e5,e2
14,VP020_221123_DigiRelax_Experiment_2023-11-22_09h48.04.766.csv,2.0,5.0,3.0,3.0,a4,a3,a1,a4,e1,e3,e1,e1
15,VP021_221123_DigiRelax_Experiment_2023-11-22_14h43.57.344.csv,2.0,3.0,2.0,2.0,a5,a3,a6,a5,e2,e3,e0,e1
16,VP022_231123_DigiRelax_Experiment_2023-11-23_09h47.27.026.csv,2.0,5.0,2.0,2.0,a5,a1,a5,a4,e1,e4,e1,e1
17,VP023_231123_DigiRelax_Experiment_2023-11-23_14h49.16.111.csv,1.0,7.0,4.0,3.0,a5,a0,a2,a3,e1,e6,e3,e2
18,VP024_241123_DigiRelax_Experiment_2023-11-24_15h57.15.078.csv,1,5,1,None,a5,a1,a4,a5,e1,e4,e1,e2
19,VP025_271123_DigiRelax_Experiment_2023-11-27_09h46.03.287.csv,1,5,2,None,a6,a2,a5,a6,e1,e4,e1,e0
20,VP027_271123_DigiRelax_Experiment_2023-11-27_15h58.18.227.csv,2.0,6.0,2.0,2.0,a4,a2,a3,a5,e1,e5,e3,e2
21,VP028_281123_DigiRelax_Experiment_2023-11-28_13h11.36.660.csv,4.0,5.0,4.0,4.0,a5,a1,a4,a4,e3,e5,e2,e2
22,VP029_281123_DigiRelax_Experiment_2023-11-28_15h49.00.382.csv,None,6,None,None,a4,a1,a5,a5,e1,e5,e0,e5
23,VP030_291123_DigiRelax_Experiment_2023-11-29_09h54.53.886.csv,1,6,None,None,a6,a0,a6,a6,e1,e5,e0,e0
24,VP031_291123_DigiRelax_Experiment_2023-11-29_14h41.15.470.csv,2.0,7.0,1.0,1.0,a4,a0,a5,a6,e5,e6,e0,e0
25,VP032_301123_DigiRelax_Experiment_2023-11-30_09h49.51.787.csv,None,5,None,None,a5,a2,a6,a6,e0,e4,e0,e0
26,VP033_301123_DigiRelax_Experiment_2023-11-30_15h44.58.284.csv,5.0,7.0,5.0,3.0,a4,a0,a3,a5,e5,e6,e4,e1
27,VP034_011223_DigiRelax_Experiment_2023-12-01_14h41.10.723.csv,1,2,None,None,a5,a5,a6,a6,e0,e1,e0,e0
28,VP035_041123_DigiRelax_Experiment_2023-12-04_09h54.08.642.csv,1,4,None,None,a5,a2,a6,a6,e1,e4,e0,e0
29,VP037_051223_DigiRelax_Experiment_2023-12-05_10h01.53.815.csv,2.0,6.0,4.0,3.0,a5,a2,a3,a3,e1,e6,e3,e2
30,VP038_051223_DigiRelax_Experiment_2023-12-05_15h52.43.156.csv,None,5,None,None,a5,a1,a5,a5,e1,e3,e0,e0
31,VP039_061223_DigiRelax_Experiment_2023-12-06_09h56.18.635.csv,2.0,5.0,2.0,2.0,a3,a1,a4,a3,e1,e4,e1,e1
32,VP040_061223_DigiRelax_Experiment_2023-12-06_13h18.31.319.csv,2,5,None,2,a5,a4,a6,a6,e1,e3,e0,e0
33,VP041_061223_DigiRelax_Experiment_2023-12-06_15h50.23.237.csv,None,7,2,None,a6,a0,a5,a6,e1,e6,e1,e1
34,VP042_071223_DigiRelax_Experiment_2023-12-07_10h46.20.248.csv,1,6,None,1,a5,a0,a4,a5,e1,e5,e1,e1
